Player,Pos.,Team,Amount,Infraction,Week,6,Year
Tom Nalen,C,DEN,"$5,000.00 ",Leg Whip,Week 2,,2002
Warren Sapp,DT,TB,"$10,000.00 ",Unsportsmanlike Conduct,Week 2,,2002
Chris Gardocki,PR,CLE,"$5,000.00 ",Taunting,Week 1,,2002
Dwayne Rudd,LB,CLE,"$5,000.00 ",Taunting,Week 1,,2002
Phil Dawson,K,CLE,"$5,000.00 ",Taunting,Week 1,,2002
Warren Sapp,DT,TB,"$5,000.00 ",Striking/Kicking/Kneeing,Week 1,,2002
R. Jay Soward,WR,JAC,"$735,000.00 ",Substance Abuse,,,2002
Rashard Anderson,CB,CAR,"$1,173,125.00 ",Substance Abuse,,,2002
Victor Riley,LT,NO,"$30,882.00 ",Personal Conduct,,,2002
Ben Leber,LB,SD,"$7,500.00 ",Roughing the Passer,Week 15,,2003
Damien Robinson,S,SEA,"$7,500.00 ",Roughing the Passer,Week 15,,2003
Donald Driver,WR,GB,"$5,000.00 ",Celebration,Week 15,,2003
Grant Wistrom,DE,STL,"$5,000.00 ",Roughing the Passer,Week 15,,2003
Jon Kitna,QB,CIN,"$5,000.00 ",Other Uniform/Equipment Violation,Week 15,,2003
Mike Flanagan,C,GB,"$5,000.00 ",Unsportsmanlike Conduct,Week 15,,2003
Robert Ferguson,WR,GB,"$5,000.00 ",Celebration,Week 15,,2003
Joe Horn,WR,NO,"$30,000.00 ",Celebration,Week 15,,2003
Hunter Goodwin,TE,MIN,"$10,000.00 ",Fighting,Week 14,,2003
Samari Rolle,CB,TEN,"$12,500.00 ",Celebration,Week 14,,2003
Kenny Mixon,DE,MIN,"$5,000.00 ",Roughing the Passer,Week 12,,2003
Randy Moss,WR,MIN,"$5,000.00 ",Celebration,Week 12,,2003
William Green,RB,CLE,"$141,176.00 ",Substance Abuse,,,2003
Andre Dyson,CB,TEN,"$6,000.00 ",Celebration,Week 9,,2003
Keith Bulluck,LB,TEN,"$10,000.00 ",Celebration,Week 10,,2003
Kevin Carter,DE,TEN,"$6,000.00 ",Celebration,Week 10,,2003
Robaire Smith,DT,TEN,$600.00 ,Celebration,Week 10,,2003
Samari Rolle,CB,TEN,"$6,000.00 ",Celebration,Week 10,,2003
Tank Williams,S,TEN,"$6,000.00 ",Celebration,Week 10,,2003
Rodney Harrison,S,NE,"$25,000.00 ",Physical Contact with Official,Week 8,,2003
Terrence Kiel,S,SD,"$25,000.00 ",Physical Contact with Official,Week 8,,2003
Chris McAlister,CB,BAL,"$5,000.00 ",Taunting,Week 6,,2003
Warren Sapp,DT,TB,"$50,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 6,,2003
Scott Shanle,LB,STL,"$52,941.00 ",violating the NFL's substance abuse policy,,,2003
David Boston,WR,SD,"$32,353.00 ",Conduct detrimental to the team,,,2003
Keenan McCardell,WR,TB,"$12,500.00 ",Chop Block,Week 2,,2003
Eric Barton,LB,NYJ,"$7,500.00 ",Roughing the Passer,Postseason,,2004
Randy Moss,WR,MIN,"$10,000.00 ",Celebration,Postseason,,2004
John Lynch,S,DEN,"$75,000.00 ",Helmet-to-Helmet Hit,Week 17,,2004
Donovan Darius,S,JAC,"$75,000.00 ",Unsportsmanlike Conduct,Week 15,,2004
Jake Plummer,QB,DEN,"$5,000.00 ",Unsportsmanlike Conduct,Week 14,,2004
David Boston,WR,MIA,"$125,882.00 ",Violating the league's steroid policy,,,2004
Clinton Portis,RB,WAS,"$5,000.00 ",Other Uniform/Equipment Violation,Week 13,,2004
Steve Gleason,S,NO,"$5,000.00 ",Striking/Kicking/Kneeing,Week 13,,2004
Tommie Harris,DT,CHI,"$5,000.00 ",Roughing the Passer,Week 7,,2004
Jamal Lewis,RB,BAL,"$760,000.00 ",Off-court/Off-field Violation,Week 4,,2004
Nate Burleson,WR,MIN,"$7,500.00 ",Fighting,Week 4,,2004
Randy Moss,WR,MIN,"$5,000.00 ",Fighting,Week 3,,2004
Barrett Green,LB,NYG,"$5,000.00 ",Roughing the Passer,Week 3,,2004
Gibril Wilson,S,NYG,"$7,500.00 ",Helmet-to-Helmet Hit,Week 3,,2004
Terry Cousin,CB,NYG,"$7,500.00 ",Helmet-to-Helmet Hit,Week 3,,2004
John Lynch,S,DEN,"$7,500.00 ",Hit on Defenseless Player,Week 1,,2004
Wendell Bryant,DT,ARI,"$89,412.00 ",Violating the league's substance abuse policy,,,2004
Sean Taylor,S,WAS,"$25,000.00 ",Off-court/Off-field Violation,Preseason,,2004
Barrett Robbins,C,OAK,"$234,375.00 ",Foreign Substances on Body/Uniform,Preseason,,2004
Chris Cooper,DE,OAK,"$187,500.00 ",Foreign Substances on Body/Uniform,Preseason,,2004
Dana Stubblefield,DT,NE,"$44,705.00 ",Foreign Substances on Body/Uniform,Preseason,,2004
Michael Pittman,RB,TB,"$264,705.00 ",Suspended for Domestic Violence,,,2004
Sean Taylor,S,WAS,"$17,000.00 ",Unsportsmanlike Conduct,Postseason,,2005
Steve Smith,WR,CAR,"$15,000.00 ",Physical Contact with Official,Week 16,,2005
Fred Miller,T,CHI,"$50,000.00 ",Off-court/Off-field Violation,Week 13,,2005
Olin Kreutz,C,CHI,"$50,000.00 ",Off-court/Off-field Violation,Week 13,,2005
Chad Johnson,WR,CIN,"$5,000.00 ",Celebration,Week 13,,2005
Ronde Barber,S,TB,"$30,000.00 ",Physical Contact with Official,Week 5,,2005
Charles Rogers,WR,DET,"$120,980.00 ",Substance Abuse,,,2005
Allen Rossum,CB,ATL,"$2,500.00 ",Unnecessarily Entering Fight Area (active involvement),Week 1,,2005
Chad Lavalais,DT,ATL,"$7,500.00 ",Roughing the Passer,Week 1,,2005
DeAngelo Hall,CB,ATL,"$5,000.00 ",Unsportsmanlike Conduct,Week 1,,2005
Jason Short,LB,PHI,"$2,500.00 ",Unnecessarily Entering Fight Area (active involvement),Week 1,,2005
Frank Trotter,DE,PHI,"$5,000.00 ",Fighting,Week 1,,2005
Keion Carpenter,S,ATL,"$2,500.00 ",Unnecessarily Entering Fight Area (active involvement),Week 1,,2005
Keith Adams,LB,PHI,"$2,500.00 ",Unnecessarily Entering Fight Area (active involvement),Week 1,,2005
Kevin Mathis,CB,ATL,"$5,000.00 ",Fighting,Week 1,,2005
Kevin McCadam,S,ATL,"$1,000.00 ",Unnecessarily Entering Fight Area (active involvement),Week 1,,2005
Mike Labinjo,LB,PHI,"$2,500.00 ",Unnecessarily Entering Fight Area (active involvement),Week 1,,2005
Samari Rolle,CB,BAL,"$58,823.00 ",Off-court/Off-field Violation,Preseason,,2005
Ricky Williams,RB,MIA,"$127,058.00 ",Banned Substance,,,2005
Ricky Williams,RB,MIA,"$385,000.00 ",Banned Substance,,,2005
Reggie Bush,RB,NO,"$5,000.00 ",Taunting,Postseason,,2006
Joey Porter,LB,PIT,"$10,000.00 ",Cursing,Week 16,,2006
Terrell Owens,WR,DAL,"$35,000.00 ",Unsportsmanlike Conduct,Week 15,,2006
Hollis Thomas,DT,NO,"$167,058.00 ",violating the NFL's substance abuse policy,,,2006
Michael Vick,QB,ATL,"$10,000.00 ",Unsportsmanlike Conduct,Week 12,,2006
Darrent Williams,CB,DEN,"$15,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 10,,2006
Jerramy Stevens,TE,SEA,"$15,000.00 ",Unsportsmanlike Conduct,Week 9,,2006
Tyler Brayton,DT,OAK,"$25,000.00 ",Striking/Kicking/Kneeing,Week 9,,2006
Chad Johnson,WR,CIN,"$5,000.00 ",Other Uniform/Equipment Violation,Week 8,,2006
Hines Ward,WR,PIT,"$5,000.00 ",Celebration,Week 7,,2006
Nate Washington,WR,PIT,"$5,000.00 ",Celebration,Week 7,,2006
Santonio Holmes,WR,PIT,"$5,000.00 ",Celebration,Week 7,,2006
Antrel Rolle,SS,ARI,"$12,500.00 ",Face Mask,Week 7,,2006
Shawne Merriman,LB,SD,"$82,352.00 ",Substance Abuse,,,2006
Shaun Rogers,DT,DET,"$200,000.00 ",Violating the substance abuse policy,,,2006
Matt Lehr,C,ATL,"$198,823.00 ",Violating the NFL's PED policy,,,2006
Odell Thurman,LB,CIN,"$785,000.00 ",DUI charge,,,2006
Bryant McKinnie,LT,MIN,"$41,176.00 ",Off-court/Off-field Violation,Week 1,,2006
Fred Smoot,CB,MIN,"$82,352.00 ",Off-court/Off-field Violation,Week 1,,2006
Sammy Morris,RB,MIA,"$137,647.00 ",Violating the NFL's PED policy,,,2006
Sean Taylor,S,WAS,"$72,000.00 ",Off-court/Off-field Violation,Preseason,,2006
Ricky Williams,RB,MIA,"$585,000.00 ",Banned Substance,,,2006
Albert Haynesworth,DT,TEN,"$5,000.00 ",Roughing the Passer,Postseason,,2007
Vince Wilfork,DT,NE,"$15,000.00 ",Striking/Kicking/Kneeing,Week 17,,2007
Jammal Brown,T,NO,"$25,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 17,,2007
Derrick Burgess,CB,OAK,"$25,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 16,,2007
Warren Sapp,DT,OAK,"$75,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 16,,2007
Charles Tillman,CB,CHI,"$7,500.00 ",Horse Collar Tackle,Week 15,,2007
Alge Crumpler,TE,ATL,"$10,000.00 ",Other Uniform/Equipment Violation,Week 15,,2007
Chris Houston,CB,ATL,"$10,000.00 ",Other Uniform/Equipment Violation,Week 15,,2007
DeAngelo Hall,CB,ATL,"$10,000.00 ",Other Uniform/Equipment Violation,Week 15,,2007
Joe Horn,WR,ATL,"$7,500.00 ",Other Uniform/Equipment Violation,Week 15,,2007
Roddy White,WR,ATL,"$10,000.00 ",Other Uniform/Equipment Violation,Week 15,,2007
David Stewart,RT,TEN,"$12,500.00 ",Unsportsmanlike Conduct,Week 14,,2007
Kevin Mawae,C,TEN,"$5,000.00 ",Late Hit,Week 14,,2007
Bart Scott,LB,BAL,"$25,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 13,,2007
Chris McAlister,CB,BAL,"$15,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 14,,2007
Derrick Mason,WR,BAL,"$15,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 13,,2007
Rodney Harrison,S,NE,"$5,000.00 ",Taunting,Week 13,,2007
Samari Rolle,CB,BAL,"$15,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 13,,2007
Ray Edwards,DE,MIN,"$64,705.00 ",PED,,,2007
Larry Johnson,RB,KC,"$7,500.00 ",Celebration,Week 9,,2007
Terrell Owens,WR,DAL,"$10,000.00 ",Other Uniform/Equipment Violation,Week 9,,2007
Marcus Stroud,DT,JAC,"$332,941.00 ",Violating the NFL's substance abuse policy,,,2007
LaJuan Ramsey,DT,PHI,"$21,176.00 ",Spearing,Week 8,,2007
LaRon Landry,S,WAS,"$16,764.00 ",Roughing the Passer,Week 8,,2007
Chris Henry,RB,TEN,"$67,058.00 ",Violating the NFL's substance abuse policy,,,2007
Drayton Florence,CB,SD,"$15,000.00 ",Roughing the Passer,Week 8,,2007
Joe Nedney,K,SF,"$7,500.00 ",Unsportsmanlike Conduct,Week 8,,2007
Roy Williams,S,DAL,"$15,000.00 ",Horse Collar Tackle,Week 7,,2007
Terence Newman,CB,DAL,"$5,000.00 ",Helmet-to-Helmet Hit,Week 7,,2007
Vince Wilfork,DT,NE,"$5,000.00 ",Unsportsmanlike Conduct,Week 6,,2007
Robert Gallery,T,OAK,"$7,500.00 ",Chop Block,Week 6,,2007
Kyle Vanden Bosch,DE,TEN,"$7,500.00 ",Roughing the Passer,Week 5,,2007
Maurice Jones-Drew,RB,JAC,"$7,500.00 ",Celebration,Week 5,,2007
Mike Vrabel,LB,NE,"$5,000.00 ",Late Hit,Week 5,,2007
Warren Sapp,DT,OAK,"$5,000.00 ",Roughing the Passer,Week 4,,2007
Tim Couch,QB,GB,0N/A,Violating the NFL's policy on PEDs,,,2007
enard  Lang,DE,DEN,0N/A,Violating the NFL's PED policy,,,2007
Corey Graham,FS,CHI,"$7,500.00 ",Horse Collar Tackle,Week 4,,2007
Vince Wilfork,DT,NE,"$12,500.00 ",Roughing the Passer,Week 3,,2007
Brodney Pool,S,CLE,"$5,000.00 ",Helmet-to-Helmet Hit,Week 3,,2007
Tommie Harris,DT,CHI,"$5,000.00 ",Face Mask,Week 3,,2007
Vince Young,QB,TEN,"$7,500.00 ",Unsportsmanlike Conduct,Week 2,,2007
Terrell Owens,WR,DAL,"$7,500.00 ",Celebration,Week 2,,2007
Albert Haynesworth,DT,TEN,"$5,000.00 ",Unsportsmanlike Conduct,Week 1,,2007
Hines Ward,WR,PIT,"$5,000.00 ",Unsportsmanlike Conduct,Week 1,,2007
Rodney Harrison,S,NE,"$470,588.00 ",violating the NFL's substance abuse policy,,,2007
Obafemi Ayanbadejo,FB,ARI,"$169,411.00 ",Violating the NFL's substance abuse policy,,,2007
Jeremy Bridges,G,CAR,"$82,352.00 ",misdemeanor assault charge arrest,,,2007
Joey Porter,LB,MIA,"$141,176.00 ",Off-court/Off-field Violation,Preseason,,2007
Kenny Peterson,DT,DEN,"$140,000.00 ",Violating the NFL's substance abuse policy,,,2007
Dominic Rhodes,RB,OAK,"$352,941.00 ",Violating the NFL's substance abuse policy,,,2007
Tank Johnson,DT,CHI,"$240,000.00 ",Alleged possession of six firearms and violation of probation on other charges,,,2007
Brian Urlacher,LB,CHI,"$100,000.00 ",Other Uniform/Equipment Violation,Preseason,,2007
Adam-Pacman Jones,CB,TEN,"$1,292,500.00 ",Attacking a stripper and threatening a security guard's life,,,2007
Chris Henry,WR,CIN,"$204,705.00 ",Violating the league's player conduct policy,,,2007
Dwight Freeney,OLB,IND,"$20,000.00 ",Verbal or other Non-Physical Offense Against  Official,Postseason,,2008
Wes Welker,WR,NE,"$10,000.00 ",Unsportsmanlike Conduct,Week 16,,2008
Shaun Ellis,DE,NYJ,"$10,000.00 ",Unsportsmanlike Conduct,Week 16,,2008
Antonio Pittman,RB,STL,"$25,000.00 ",Off-court/Off-field Violation,Week 16,,2008
Cortland Finnegan,CB,TEN,"$25,000.00 ",Roughing the Passer,Week 15,,2008
Kevin Mawae,C,TEN,"$5,000.00 ",Unsportsmanlike Conduct,Week 14,,2008
Donte Stallworth,WR,CLE,"$5,000.00 ",Spearing,Week 14,,2008
Tommy Kelly,DT,OAK,"$5,000.00 ",Late Hit,Week 14,,2008
Dominic Raiola,C,DET,"$7,500.00 ",Unsportsmanlike Conduct,Week 14,,2008
Keyshawn Johnson,WR,CAR,"$5,000.00 ",Unsportsmanlike Conduct,Week 13,,2008
Julius Peppers,DE,CAR,"$10,000.00 ",Roughing the Passer,Week 13,,2008
Jared Allen,DE,MIN,"$10,000.00 ",Celebration,Week 13,,2008
David Stewart,RT,TEN,"$7,500.00 ",Unsportsmanlike Conduct,Week 13,,2008
Benny Sapp,CB,MIN,"$5,000.00 ",Striking/Kicking/Kneeing,Week 13,,2008
Brandon Lloyd,WR,CHI,"$7,500.00 ",Horse Collar Tackle,Week 13,,2008
Charles Tillman,CB,CHI,"$7,500.00 ",Horse Collar Tackle,Week 13,,2008
Joey Porter,LB,MIA,"$7,500.00 ",Unsportsmanlike Conduct,Week 12,,2008
Matt Light,T,NE,"$15,000.00 ",Fighting,Week 12,,2008
Channing Crowder,LB,MIA,"$15,000.00 ",Fighting,Week 12,,2008
Jared Allen,DE,MIN,"$25,000.00 ",Roughing the Passer,Week 10,,2008
Randy Moss,WR,NE,"$20,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 10,,2008
Andrew Whitworth,LT,CIN,"$10,000.00 ",Fighting,Week 9,,2008
David Thomas,TE,NE,"$7,500.00 ",Late Hit,Week 9,,2008
Jared Allen,DE,MIN,"$50,000.00 ",Roughing the Passer,Week 9,,2008
John Henderson,DT,JAC,"$10,000.00 ",Fighting,Week 9,,2008
Justin Tuck,DE,NYG,"$7,500.00 ",Roughing the Passer,Week 9,,2008
LaMarr Woodley,OLB,PIT,"$10,000.00 ",Roughing the Passer,Week 9,,2008
Joey Porter,LB,MIA,"$20,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 9,,2008
Ryan Clark,S,PIT,"$5,000.00 ",Personal Messages,Week 8,,2008
Vince Wilfork,DT,NE,"$35,000.00 ",Roughing the Passer,Week 8,,2008
Aaron Rouse,S,GB,"$7,500.00 ",Hit on Defenseless Player,Week 7,,2008
Jamie Winborn,LB,DEN,"$5,000.00 ",Face Mask,Week 7,,2008
Michael Pittman,RB,DEN,"$5,000.00 ",Chop Block,Week 7,,2008
Plaxico Burress,WR,NYG,"$20,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 7,,2008
Plaxico Burress,WR,NYG,"$20,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 7,,2008
Plaxico Burress,WR,NYG,"$5,000.00 ",Ball Into Stands,Week 7,,2008
Ryan Harris,LT,DEN,"$5,000.00 ",Unsportsmanlike Conduct,Week 7,,2008
Chris Johnson,RB,TEN,"$10,000.00 ",Celebration,Week 7,,2008
Matt Jones,WR,JAC,"$110,294.00 ",Violating the NFL's substance abuse policy,,,2008
Kellen Winslow,TE,CLE,"$235,294.00 ",conduct detrimental to the club,,,2008
Brian Urlacher,LB,CHI,"$20,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 6,,2008
Joey Porter,LB,MIA,"$20,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 6,,2008
Larry Johnson,RB,KC,"$138,408.00 ",Conduct detrimental to the team,,,2008
Dre' Bly,CB,DEN,"$20,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 6,,2008
Richie Incognito,G,STL,"$25,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 6,,2008
Richie Incognito,G,STL,"$5,000.00 ",Face Mask,Week 6,,2008
Richie Incognito,G,STL,"$5,000.00 ",Chop Block,Week 6,,2008
Nate Washington,WR,PHI,"$7,500.00 ",Taunting,Week 6,,2008
Ryan Clark,S,PIT,"$7,500.00 ",Late Hit,Week 6,,2008
Adam-Pacman Jones,CB,DAL,"$410,000.00 ",Involvement in an altercation with a bodyguard,,,2008
DeSean Jackson,WR,PHI,"$10,000.00 ",Celebration,Week 6,,2008
Quintin Demps,SS,PHI,"$10,000.00 ",Celebration,Week 5,,2008
Torrance Daniels,LB,PHI,"$5,000.00 ",Face Mask,Week 5,,2008
Adrian Wilson,S,ARI,"$25,000.00 ",Roughing the Passer,Week 5,,2008
Antoine Winfield,CB,MIN,"$10,000.00 ",Celebration,Week 5,,2008
Chad Greenway,OLB,MIN,"$7,500.00 ",Face Mask,Week 5,,2008
Cortland Finnegan,CB,TEN,"$5,000.00 ",Unsportsmanlike Conduct,Week 5,,2008
Derrick Mason,WR,BAL,"$5,000.00 ",Unsportsmanlike Conduct,Week 5,,2008
Robert Ferguson,WR,MIN,"$5,000.00 ",Late Hit,Week 5,,2008
Hines Ward,WR,PIT,"$10,000.00 ",Unsportsmanlike Conduct,Week 5,,2008
Hines Ward,WR,PIT,"$5,000.00 ",Unsportsmanlike Conduct,Week 5,,2008
Ikechuku Ndukwe,G,MIA,"$10,000.00 ",Celebration,Week 5,,2008
James Harrison,OLB,PIT,"$20,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 5,,2008
Ronnie Brown,RB,MIA,"$10,000.00 ",Celebration,Week 5,,2008
Vernon Carey,T,MIA,"$10,000.00 ",Celebration,Week 5,,2008
Darryl Blackstock,LB,CIN,"$122,352.00 ",PEDs,,,2008
Eric Smith,S,NYJ,"$50,000.00 ",Helmet-to-Helmet Hit,Week 5,,2008
Kalimba Edwards,CB,OAK,"$7,500.00 ",Horse Collar Tackle,Week 4,,2008
Turk McBride,DE,KC,"$5,000.00 ",Roughing the Passer,Week 5,,2008
Kevin Kaesviharn,S,NO,"$25,000.00 ",Helmet-to-Helmet Hit,Week 4,,2008
Tommie Harris,DT,CHI,"$35,588.00 ",Conduct detrimental to the team,,,2008
Julius Peppers,DE,CAR,"$10,000.00 ",Helmet-to-Helmet Hit,Week 4,,2008
Charles Tillman,CB,CHI,"$5,000.00 ",Fighting,Week 3,,2008
Jeremy Trueblood,RT,TB,"$5,000.00 ",Fighting,Week 3,,2008
Jamar Williams,LB,CHI,"$7,500.00 ",Taunting,Week 3,,2008
Gibril Wilson,S,OAK,"$5,000.00 ",Unsportsmanlike Conduct,Week 3,,2008
Chris Hope,S,TEN,"$7,500.00 ",Horse Collar Tackle,Week 3,,2008
Nick Barnett,ILB,GB,"$7,500.00 ",Roughing the Passer,Week 2,,2008
Ryan Clady,LT,DEN,"$5,000.00 ",Chop Block,Week 2,,2008
Julian Peterson,LB,SEA,"$7,500.00 ",Taunting,Week 2,,2008
Patrick Kerney,DE,SEA,"$5,000.00 ",Face Mask,Week 2,,2008
James Farrior,LB,PIT,"$7,500.00 ",Unsportsmanlike Conduct,Week 2,,2008
Eric Weems,WR,ATL,"$5,000.00 ",Unsportsmanlike Conduct,Preseason,,2008
Todd Weiner,T,ATL,"$7,500.00 ",Unsportsmanlike Conduct,Preseason,,2008
Jesse Chatman,RB,NYJ,"$144,705.00 ",Violating the NFL's substance abuse policy,,,2008
Bryant McKinnie,LT,MIN,"$764,705.00 ",Violating the league's personal conduct policy,,,2008
Luke Petitgout,RT,TB,0N/A,Violating the NFL's substance abuse policy,,,2008
Fabian Washington,CB,BAL,"$110,970.00 ",Violating the league's personal conduct policy,,,2008
Stephen Cooper,LB,SD,"$470,588.00 ",Violating the NFL's substance abuse policy,,,2008
Bobby McCray,DE,NO,"$20,000.00 ",Roughing the Passer,Postseason,,2009
Ken Hamlin,S,DAL,"$12,500.00 ",Hit on Defenseless Player,Postseason,,2009
Luke Lawton,RB,OAK,"$192,471.00 ",Violating the NFL's substance abuse policy,,,2009
Albert Haynesworth,DT,WAS,"$10,000.00 ",Fighting,Week 15,,2009
Brandon Jacobs,RB,NYG,"$7,500.00 ",Fighting,Week 15,,2009
Kevin Williams,DT,MIN,"$5,000.00 ",Low Block,Week 15,,2009
Richie Incognito,G,STL,"$50,000.00 ",Striking/Kicking/Kneeing,Week 14,,2009
Keith Bulluck,LB,TEN,"$10,000.00 ",Ball Into Stands,Week 14,,2009
Bart Scott,LB,NYJ,"$5,000.00 ",Striking/Kicking/Kneeing,Week 14,,2009
Shaun O'Hara,C,NYG,"$15,000.00 ",Fighting,Week 14,,2009
Trent Cole,OLB,PHI,"$15,000.00 ",Fighting,Week 14,,2009
Ryan Mundy,SS,PIT,"$10,000.00 ",Late Hit,Week 13,,2009
Jeremy Trueblood,RT,TB,"$25,000.00 ",Late Hit,Week 13,,2009
Tony Brown,DT,TEN,"$20,000.00 ",Unsportsmanlike Conduct,Week 13,,2009
Flozell Adams,T,DAL,"$50,000.00 ",Unsportsmanlike Conduct,Week 13,,2009
Chad Johnson,WR,CIN,"$30,000.00 ",Celebration,Week 13,,2009
Kerry Rhodes,S,NYJ,"$5,000.00 ",Ball Into Stands,Week 12,,2009
Steven Jackson,RB,STL,"$5,000.00 ",Ball Into Stands,Week 12,,2009
Shawn Jefferson,WR,ATL,"$5,000.00 ",Other Uniform/Equipment Violation,Week 11,,2009
Dwan Edwards,DT,BAL,"$5,000.00 ",Unsportsmanlike Conduct,Week 10,,2009
Reggie Nelson,FS,JAC,"$7,500.00 ",Roughing the Passer,Week 10,,2009
Cortland Finnegan,CB,TEN,"$10,000.00 ",Late Hit,Week 10,,2009
Keith Bulluck,LB,TEN,"$7,500.00 ",Horse Collar Tackle,Week 10,,2009
Spencer Havner,LB,GB,"$5,000.00 ",Late Hit,Week 10,,2009
Darnell Dockett,DE,ARI,"$7,500.00 ",Unsportsmanlike Conduct,Week 10,,2009
James Harrison,OLB,PIT,"$5,000.00 ",Late Hit,Week 10,,2009
Brady Quinn,QB,CLE,"$7,500.00 ",Low Block,Week 10,,2009
Dwayne Bowe,WR,KC,"$108,235.00 ",Violating the NFL's substance abuse policy,,,2009
Eugene Wilson,CB,HOU,"$5,000.00 ",Hit on Defenseless Player,Week 9,,2009
Chad Johnson,WR,CIN,"$20,000.00 ",Personal Messages,Week 9,,2009
Jay Cutler,QB,CHI,"$20,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 9,,2009
Tommie Harris,DT,CHI,"$7,500.00 ",Unsportsmanlike Conduct,Week 9,,2009
LaRon Landry,S,WAS,"$7,500.00 ",Fighting,Week 9,,2009
Albert Haynesworth,DT,WAS,"$5,000.00 ",Fighting,Week 9,,2009
Roy Lewis,CB,SEA,"$5,000.00 ",Late Hit,Week 9,,2009
Lance Laury,LB,SEA,"$5,000.00 ",Late Hit,Week 9,,2009
Joselio Hanson,CB,PHI,"$145,882.00 ",violating the Minor League Drug Prevention and Treatment Program,,,2009
Johnny Jolly,DE,GB,"$5,000.00 ",Unsportsmanlike Conduct,Week 8,,2009
Al Harris,CB,GB,"$5,000.00 ",Face Mask,Week 8,,2009
B.J. Raji,DT,GB,"$5,000.00 ",Face Mask,Week 8,,2009
Darnell Dockett,DE,ARI,"$5,000.00 ",Helmet-to-Helmet Hit,Week 8,,2009
Jeff King,TE,CAR,"$5,000.00 ",Late Hit,Week 8,,2009
Kamerion Wimbley,OLB,CLE,"$7,500.00 ",Roughing the Passer,Week 8,,2009
Clint Session,LB,IND,"$5,000.00 ",Roughing the Passer,Week 8,,2009
Antrel Rolle,SS,ARI,"$7,500.00 ",Hit on Defenseless Player,Week 7,,2009
